Year,Annual
1985,126.15
1985,125.25
1985,126.33
1985,123.84
1986,128.53
1986,129.20
1986,128.40
1986,127.70
1987,129.44
1987,127.90
1987,125.21
1987,124.12
1988,125.19
1988,124.84
1988,123.57
1988,123.11
1989,123.20
1989,124.21
1989,126.61
1989,126.08
1990,126.75
1990,127.80
1990,128.77
1990,129.06
1991,130.54
1991,132.17
1991,133.37
1991,135.61
1992,137.52
1992,140.60
1992,143.67
1992,146.37
1993,149.07
1993,152.70
1993,157.03
1993,160.92
1994,165.62
1994,173.25
1994,177.57
1994,179.06
1995,182.33
1995,185.95
1995,189.64
1995,192.54
1996,194.92
1996,197.41
1996,199.60
1996,202.36
1997,204.48
1997,207.14
1997,210.46
1997,213.74
1998,216.75
1998,219.37
1998,223.36
1998,226.09
1999,230.45
1999,237.55
1999,245.39
1999,249.63
2000,259.04
2000,265.39
2000,272.37
2000,278.46
2001,286.25
2001,292.08
2001,297.47
2001,299.89
2002,303.38
2002,306.71
2002,311.10
2002,312.99
2003,313.89
2003,315.23
2003,316.68
2003,320.29
2004,322.74
2004,325.17
2004,329.74
2004,332.90
2005,336.45
2005,341.40
2005,346.71
2005,350.16
2006,351.20
2006,353.00
2006,354.57
2006,357.90
2007,358.79
2007,359.70
2007,357.44
2007,358.34
2008,360.23
2008,358.08
2008,350.98
2008,352.05
2009,358.56
2009,352.73
2009,344.38
2009,343.45
2010,339.54
2010,335.64
2010,339.79
2010,338.29
2011,329.78
2011,323.83
2011,327.17
2011,330.09
2012,328.33
2012,329.18
2012,334.56
2012,337.64
2013,341.74
2013,348.71
2013,357.12
2013,360.10
2014,365.15
2014,377.69
2014,386.04
2014,391.76
2015,399.27
2015,415.80
2015,430.75
2015,436.74
2016,444.57
2016,460.23
2016,472.61
2016,479.48
2017,487.58
2017,504.62
2017,512.78
2017,519.75
2018,533.69
2018,547.34
2018,555.74
2018,557.39
2019,565.06
2019,573.97
2019,579.27
2019,584.06
2020,590.42
2020,597.38
2020,606.82
2020,619.23
2021,635.90
2021,681.62
2021,722.05
2021,742.53
2022,773.29
2022,832.01
2022,823.35
2022,805.95
2023,807.41
2023,828.51
2023,832.42
2023,825.48
2024,837.24
2024,852.49
2024,854.94
2024,853.87
