Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1985,105.1,,106.5,,106.8,,108.0,,107.4,,107.8,,107.1,106.4,107.8
1986,109.3,,106.7,,106.8,,107.5,,108.8,,108.3,108.4,107.9,107.4,108.3
1987,,,,,,,,,,,,,110.8,109.9,111.6
1988,,,,,,,,,,,,,113.7,112.8,114.7
1989,,,,,,,,,,,,,115.8,115.0,116.6
1990,,,,,,,,,,,,,120.9,119.4,122.5
1991,,,,,,,,,,,,,125.6,124.8,126.4
1992,,,,,,,,,,,,,130.3,129.0,131.6
1993,,,,,,,,,,,,,135.8,134.6,137.0
1994,,,,,,,,,,,,,141.8,140.0,143.6
1995,,,,,,,,,,,,,147.9,146.9,149.0
1996,,,,,,,,,,,,,153.1,152.0,154.2
1997,,,,,,,,,,,,,158.1,157.1,159.1
1998,,,,,,,,,,,,,161.9,160.5,163.3
1999,,,,,,,,,,,,,166.6,165.1,168.2
2000,,,,,,,,,,,,,173.2,171.4,175.1
2001,,,,,,,,,,,,,181.3,180.7,181.8
2002,,,,,,,,,,,,,184.8,184.6,185.1
2003,,,,,,,,,,,,,186.8,187.8,185.7
2004,,,,,,,,,,,,,187.0,186.5,187.4
2005,,,,,,,,,,,,,190.9,189.2,192.6
2006,,,,,,,,,,,,,197.7,196.3,199.1
2007,,,,,,,,,,,,,202.029,201.258,202.799
2008,,,,,,,,,,,,,209.903,208.741,211.066
2009,,,,,,,,,,,,,208.548,207.444,209.652
2010,,,,,,,,,,,,,212.447,210.978,213.916
2011,,,,,,,,,,,,,220.288,219.055,221.521
2012,,,,,,,,,,,,,224.568,222.960,226.177
2013,,,,,,,,,,,,,230.791,229.142,232.439
2014,,,,,,,,,,,,,237.200,235.736,238.664
2015,,,,,,,,,,,,,239.990,238.086,241.895
2016,,,,,,,,,,,,,246.643,245.191,248.095
2017,,,,,,,,,,,258.614,,254.995,252.760,257.230
2018,259.907,,260.595,,262.150,,261.707,,263.723,,263.679,,261.958,260.790,263.127
2019,260.942,,264.332,,266.280,,267.285,,270.974,,271.142,,266.999,264.147,269.850
2020,270.952,,270.120,,271.379,,275.589,,273.860,,271.837,,272.207,271.264,273.149
2021,272.156,,274.430,,280.154,,285.268,,286.186,,289.621,,281.845,276.290,287.400
2022,293.580,,299.529,,303.510,,308.728,,308.211,,309.655,,304.424,300.002,308.847
2023,312.392,,316.566,,319.132,,323.298,,324.704,,323.598,,320.300,316.758,323.842
2024,323.278,,325.485,,327.403,,329.418,,329.379,,330.160,,327.572,325.308,329.837
2025,330.850,,,,,,,,,,,,,,
