Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1985,99.1,,103.8,,104.5,,102.1,,103.6,,102.5,,102.6,102.7,102.4
1986,98.7,,101.6,,102.5,,100.8,,107.1,,105.5,103.1,102.8,101.1,104.5
1987,,,,,,,,,,,,,102.0,100.1,104.0
1988,,,,,,,,,,,,,106.8,106.2,107.4
1989,,,,,,,,,,,,,93.8,95.5,92.0
1990,,,,,,,,,,,,,91.2,91.5,91.0
1991,,,,,,,,,,,,,94.8,94.9,94.7
1992,,,,,,,,,,,,,94.6,93.8,95.5
1993,,,,,,,,,,,,,95.1,96.0,94.2
1994,,,,,,,,,,,,,96.8,94.9,98.7
1995,,,,,,,,,,,,,98.6,97.5,99.8
1996,,,,,,,,,,,,,103.6,106.9,100.3
1997,,,,,,,,,,,,,104.0,103.9,104.1
1998,,,,,,,,,,,,,100.6,96.8,104.4
1999,,,,,,,,,,,,,94.0,94.0,93.9
2000,,,,,,,,,,,,,90.6,91.4,89.8
2001,,,,,,,,,,,,,93.6,98.5,88.7
2002,,,,,,,,,,,,,85.0,86.4,83.6
2003,,,,,,,,,,,,,83.5,84.8,82.2
2004,,,,,,,,,,,,,85.2,85.9,84.6
2005,,,,,,,,,,,,,86.2,85.6,86.9
2006,,,,,,,,,,,,,102.8,97.7,107.9
2007,,,,,,,,,,,,,99.405,99.061,99.748
2008,,,,,,,,,,,,,102.759,103.331,102.186
2009,,,,,,,,,,,,,102.953,101.446,104.460
2010,,,,,,,,,,,,,98.804,98.791,98.818
2011,,,,,,,,,,,,,101.495,101.516,101.474
2012,,,,,,,,,,,,,102.567,97.037,108.096
2013,,,,,,,,,,,,,109.243,110.190,108.297
2014,,,,,,,,,,,,,103.717,103.545,103.888
2015,,,,,,,,,,,,,103.178,101.779,104.577
2016,,,,,,,,,,,,,104.635,106.257,103.013
2017,,,,,,,,,,,108.494,,102.767,99.003,106.530
2018,107.158,,101.932,,98.622,,92.717,,102.690,,93.920,,99.504,102.629,96.378
2019,87.066,,95.941,,93.525,,91.832,,105.428,,100.212,,95.624,92.051,99.196
2020,96.074,,93.915,,88.462,,94.053,,96.101,,98.685,,94.581,92.901,96.261
2021,101.889,,110.647,,111.847,,108.201,,112.248,,106.683,,108.607,108.150,109.064
2022,111.758,,114.934,,111.493,,110.729,,111.816,,112.326,,112.128,112.738,111.517
2023,121.246,,118.757,,114.059,,109.750,,117.873,,114.908,,116.195,118.119,114.271
2024,113.217,,113.430,,111.427,,104.759,,111.926,,112.430,,111.195,112.610,109.781
2025,116.378,,,,,,,,,,,,,,
