Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1985,105.7,108.9,109.5,108.4,106.5,108.7,108.0,107.3,106.0,105.5,105.7,107.0,107.3,108.0,106.6
1986,109.3,109.1,107.4,103.6,104.3,104.7,105.5,108.4,109.2,108.2,108.6,108.2,107.2,106.4,108.0
1987,,,,,,,,,,,,,107.1,108.9,105.4
1988,,,,,,,,,,,,,108.5,107.0,110.0
1989,,,,,,,,,,,,,116.9,115.5,118.3
1990,,,,,,,,,,,,,126.9,124.8,128.9
1991,,,,,,,,,,,,,130.7,131.6,129.8
1992,,,,,,,,,,,,,129.6,129.9,129.2
1993,,,,,,,,,,,,,132.7,132.0,133.4
1994,,,,,,,,,,,,,138.2,137.5,139.0
1995,,,,,,,,,,,,,145.7,145.7,145.8
1996,,,,,,,,,,,,,149.1,148.6,149.6
1997,,,,,,,,,,,,,155.8,154.7,157.0
1998,,,,,,,,,,,,,160.3,157.7,163.0
1999,,,,,,,,,,,,,167.9,166.6,169.2
2000,,,,,,,,,,,,,169.9,169.2,170.6
2001,,,,,,,,,,,,,177.4,176.0,178.9
2002,,,,,,,,,,,,,180.7,182.3,179.0
2003,,,,,,,,,,,,,184.6,181.9,187.4
2004,,,,,,,,,,,,,187.3,187.6,187.0
2005,,,,,,,,,,,,,190.4,191.0,189.8
2006,,,,,,,,,,,,,190.0,190.6,189.5
2007,,,,,,,,,,,,,196.689,195.093,198.286
2008,,,,,,,,,,,,,208.800,206.180,211.420
2009,,,,,,,,,,,,,204.546,209.125,199.967
2010,,,,,,,,,,,,,201.383,201.875,200.891
2011,,,,,,,,,,,,,211.942,209.663,214.220
2012,,,,,,,,,,,,,218.421,218.526,218.316
2013,,,,,,,,,,,,,218.111,218.377,217.845
2014,,,,,,,,,,,,,224.241,223.094,225.387
2015,,,,,,,,,,,,,223.748,225.198,222.298
2016,,,,,,,,,,,,,223.057,223.946,222.169
2017,,,,,,,,,,,,227.002,225.709,224.394,227.024
2018,229.515,228.657,230.961,231.020,230.794,229.880,230.373,230.231,229.563,229.533,225.191,227.552,229.439,230.138,228.741
2019,228.059,230.278,227.780,224.170,226.018,227.203,226.633,226.615,229.594,230.627,232.799,230.813,228.382,227.251,229.514
2020,231.878,231.851,233.571,241.944,236.467,237.104,237.599,233.470,236.474,236.216,238.936,236.561,236.006,235.469,236.543
2021,237.310,235.231,236.291,234.618,238.262,240.289,241.252,241.758,242.726,244.499,245.520,246.100,240.321,237.000,243.643
2022,250.248,251.897,255.764,259.975,263.558,267.860,274.084,275.852,277.635,279.073,272.689,275.381,267.001,258.217,275.786
2023,278.907,279.941,281.278,277.340,281.556,278.628,279.485,281.435,281.560,280.498,277.533,278.776,279.745,279.608,279.881
2024,281.706,280.660,277.571,279.761,277.069,277.092,279.479,279.297,278.347,277.333,282.229,278.808,279.113,278.977,279.249
2025,287.501,283.047,,,,,,,,,,,,,
