Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
1985,110.8,,112.5,,113.2,,115.9,,117.6,,118.5,,115.1,112.6,117.6
1986,119.9,,121.2,,123.2,,125.7,,126.4,,125.7,126.1,124.0,121.9,126.0
1987,,,,,,,,,,,,,132.1,130.8,133.3
1988,,,,,,,,,,,,,142.6,140.2,145.1
1989,,,,,,,,,,,,,153.4,150.0,156.8
1990,,,,,,,,,,,,,173.4,167.8,179.0
1991,,,,,,,,,,,,,191.8,188.3,195.3
1992,,,,,,,,,,,,,206.5,202.3,210.6
1993,,,,,,,,,,,,,217.9,216.3,219.5
1994,,,,,,,,,,,,,230.3,225.1,235.5
1995,,,,,,,,,,,,,245.7,244.9,246.6
1996,,,,,,,,,,,,,250.8,249.4,252.2
1997,,,,,,,,,,,,,265.8,263.4,268.1
1998,,,,,,,,,,,,,275.0,273.0,277.0
1999,,,,,,,,,,,,,289.4,285.1,293.7
2000,,,,,,,,,,,,,303.7,300.6,306.8
2001,,,,,,,,,,,,,320.6,317.0,324.3
2002,,,,,,,,,,,,,332.1,331.1,333.1
2003,,,,,,,,,,,,,333.3,334.9,331.7
2004,,,,,,,,,,,,,339.5,336.8,342.2
2005,,,,,,,,,,,,,352.1,345.1,359.1
2006,,,,,,,,,,,,,378.2,367.9,388.4
2007,,,,,,,,,,,,,402.854,400.579,405.130
2008,,,,,,,,,,,,,432.912,423.776,442.049
2009,,,,,,,,,,,,,442.903,439.587,446.220
2010,,,,,,,,,,,,,446.377,445.451,447.303
2011,,,,,,,,,,,,,452.274,447.767,456.780
2012,,,,,,,,,,,,,475.242,469.672,480.813
2013,,,,,,,,,,,,,492.513,487.877,497.149
2014,,,,,,,,,,,,,507.923,504.300,511.545
2015,,,,,,,,,,,,,528.220,523.475,532.965
2016,,,,,,,,,,,,,536.111,532.513,539.710
2017,,,,,,,,,,,581.482,,559.481,542.666,576.296
2018,592.008,,592.716,,593.473,,595.119,,596.691,,599.610,,595.073,592.625,597.522
2019,604.317,,616.374,,612.075,,613.541,,621.735,,621.217,,615.580,611.615,619.545
2020,625.416,,629.157,,631.792,,631.684,,634.959,,629.609,,630.272,629.348,631.197
2021,631.437,,644.336,,637.353,,636.469,,,,664.571,,641.889,637.684,646.095
2022,707.530,,693.446,,702.833,,707.674,,,,690.124,,704.341,701.971,706.712
2023,,,688.391,,701.670,,,,,,735.315,,706.993,693.258,
2024,716.344,,704.271,,710.769,,720.260,,719.277,,728.145,,716.581,710.767,722.394
2025,736.541,,,,,,,,,,,,,,
